,# time passed,number of events,total number,average number
178,1342.5,241.0,42102.0,5613.6
179,1350.0,242.0,42344.0,5645.866666666667
180,1357.5,225.0,42569.0,5675.866666666667
181,1365.0,230.0,42799.0,5706.533333333334
182,1372.5,223.0,43022.0,5736.266666666666
183,1380.0,242.0,43264.0,5768.533333333334
184,1387.5,214.0,43478.0,5797.066666666667
185,1395.0,215.0,43693.0,5825.733333333334
186,1402.5,237.0,43930.0,5857.333333333333
187,1410.0,227.0,44157.0,5887.6
188,1417.5,217.0,44374.0,5916.533333333334
189,1425.0,222.0,44596.0,5946.133333333333
190,1432.5,251.0,44847.0,5979.6
191,1440.0,215.0,45062.0,6008.266666666666
192,1447.5,227.0,45289.0,6038.533333333334
193,1455.0,250.0,45539.0,6071.866666666667
194,1462.5,246.0,45785.0,6104.666666666667
195,1470.0,222.0,46007.0,6134.266666666666
196,1477.5,233.0,46240.0,6165.333333333333
197,1485.0,235.0,46475.0,6196.666666666667
198,1492.5,212.0,46687.0,6224.933333333333
199,1500.0,212.0,46899.0,6253.2
200,1507.5,243.0,47142.0,6285.6
201,1515.0,233.0,47375.0,6316.666666666667
202,1522.5,226.0,47601.0,6346.8
203,1530.0,237.0,47838.0,6378.4
204,1537.5,221.0,48059.0,6407.866666666667
205,1545.0,231.0,48290.0,6438.666666666667
206,1552.5,203.0,48493.0,6465.733333333334
207,1560.0,235.0,48728.0,6497.066666666667
208,1567.5,228.0,48956.0,6527.466666666666
209,1575.0,241.0,49197.0,6559.6
210,1582.5,216.0,49413.0,6588.4
211,1590.0,253.0,49666.0,6622.133333333333
212,1597.5,237.0,49903.0,6653.733333333334
213,1605.0,227.0,50130.0,6684.0
214,1612.5,228.0,50358.0,6714.4
215,1620.0,227.0,50585.0,6744.666666666667
216,1627.5,215.0,50800.0,6773.333333333333
217,1635.0,220.0,51020.0,6802.666666666667
218,1642.5,236.0,51256.0,6834.133333333333
219,1650.0,244.0,51500.0,6866.666666666667
220,1657.5,223.0,51723.0,6896.4
221,1665.0,245.0,51968.0,6929.066666666667
222,1672.5,229.0,52197.0,6959.6
223,1680.0,218.0,52415.0,6988.666666666667
224,1687.5,225.0,52640.0,7018.666666666667
225,1695.0,230.0,52870.0,7049.333333333333
226,1702.5,227.0,53097.0,7079.6
227,1710.0,242.0,53339.0,7111.866666666667
228,1717.5,222.0,53561.0,7141.466666666666
229,1725.0,271.0,53832.0,7177.6
230,1732.5,257.0,54089.0,7211.866666666667
231,1740.0,259.0,54348.0,7246.4
232,1747.5,257.0,54605.0,7280.666666666667
233,1755.0,247.0,54852.0,7313.6
234,1762.5,276.0,55128.0,7350.4
235,1770.0,215.0,55343.0,7379.066666666667
236,1777.5,238.0,55581.0,7410.8
237,1785.0,222.0,55803.0,7440.4
238,1792.5,235.0,56038.0,7471.733333333334
239,1800.0,241.0,56279.0,7503.866666666667
240,1807.5,247.0,56526.0,7536.8
241,1815.0,245.0,56771.0,7569.466666666666
242,1822.5,237.0,57008.0,7601.066666666667
243,1830.0,227.0,57235.0,7631.333333333333
244,1837.5,264.0,57499.0,7666.533333333334
245,1845.0,254.0,57753.0,7700.4
246,1852.5,224.0,57977.0,7730.266666666666
